url;id;first_price;first_date;price_0;date_0;discount_0;exposition_days;unit_price_0;expected_discount;etalon_discount;effective_discount;bargaining;total_discount;price;unit_price;is_free;is_mortgage;address_full;address_region;address_district;address_city;address_street;address_number;rooms;is_isolated;square_total;square_living;square_kitchen;ratio_liv_tot;ratio_kit_tot;floor;floors;is_first;is_last;is_block;is_brick;is_panel;is_cast_in_place;year;age;is_chattels;latitude;longitude;is_nice_view;is_two-sided;finishing;is_without_renovation;is_basic_renovation;is_improved_renovation;is_design_renovation;has_loggia;has_balcony;has_balcony_or_loggia;number_of_balconies;is_view_to_street;is_view_to_courtyard;is_view_to_both;is_view_undefined;bathroom;height;has_name;is_elevators
https://www.cian.ru/sale/flat/285076029;c_285076029;5650000;2023-03-21;5450000;2023-05-16;0.965;56;134567.9;0.969;0.964;0.964;0.835;0.805;4386923;108319.09;0;1;Ленинградская область, Кировский район, Кировск, бульвар Партизанской Славы, 3;Ленинградская область;Кировский район;Кировск;бульвар Партизанской Славы;3;1;1;40.5;18;10;0.444;0.247;9;16;0;0;0;0;1;0;2016;7;1;59.884975;30.992156;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;2.7;1;2
https://www.cian.ru/sale/flat/282547075;c_282547075;3120000;2023-01-17;2950000;2023-05-16;0.946;119;148241.21;0.958;0.964;0.946;0.835;0.79;2330234.5;117097.21;1;0;Ленинградская область, Кировский район, Кировск, Советская улица, 41;Ленинградская область;Кировский район;Кировск;Советская улица;41;0;1;19.9;13.9;1;0.343;0.025;3;9;0;0;0;0;1;0;2018;5;0;59.877452;31.005101;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0.5;2.7;1;2
https://www.cian.ru/sale/flat/283392988;c_283392988;3290000;2023-02-07;3249000;2023-05-16;0.988;98;101531.25;0.96;0.964;0.964;0.835;0.805;2615250.06;81726.56;1;1;Ленинградская область, Кировский район, Кировск, бульвар Партизанской Славы, 1;Ленинградская область;Кировский район;Кировск;бульвар Партизанской Славы;1;0;1;32;20;5.5;0.494;0.136;16;17;0;0;0;0;0;1;2021;2;0;59.885638;30.990359;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0.5;2.7;1;0
https://www.cian.ru/sale/flat/286475338;c_286475338;3300000;2023-05-11;3300000;2023-05-16;1;5;103125;1.006;0.964;0.964;0.835;0.805;2656302;83009.44;1;0;Ленинградская область, Кировский район, Кировск, бульвар Партизанской Славы, 1;Ленинградская область;Кировский район;Кировск;бульвар Партизанской Славы;1;0;1;32;20;1;0.494;0.025;14;16;0;0;0;0;0;1;2019;4;0;59.885638;30.990359;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0.5;2.7;1;2
https://www.cian.ru/sale/flat/278658394;c_278658394;3600000;2022-09-27;3400000;2023-05-16;0.944;231;106583.07;0.947;0.964;0.944;0.835;0.788;2680016;84013.04;1;1;Ленинградская область, Кировский район, Кировск, Ладожская улица, 20;Ленинградская область;Кировский район;Кировск;Ладожская улица;20;1;1;31.9;17.9;6.3;0.442;0.156;4;9;0;0;0;0;1;0;1984;39;1;59.886343;31.001193;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;2.5;0;1
https://www.cian.ru/sale/flat/285245246;c_285245246;3450000;2023-05-10;3450000;2023-05-16;1;6;167475.73;1.003;0.964;0.964;0.835;0.805;2777043;134807.91;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 19;Ленинградская область;Кировский район;Кировск;Набережная улица;19;0;1;20.6;11.6;4;0.286;0.099;2;6;0;0;0;0;0;1;2015;8;1;59.877931;30.98284;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0.5;2.7;1;1
https://www.cian.ru/sale/flat/278234036;c_278234036;4100000;2022-09-13;3490000;2023-05-16;0.851;245;129259.26;0.946;0.964;0.851;0.835;0.711;2479941.65;91849.69;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 5;Ленинградская область;Кировский район;Кировск;Набережная улица;5;0;1;27;18;3;0.444;0.074;9;16;0;0;0;0;0;1;2014;9;0;59.886045;30.988401;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0.5;2.7;1;1
https://www.cian.ru/sale/flat/279485761;c_279485761;4250000;2022-10-26;3750000;2023-05-16;0.882;202;138376.38;0.949;0.964;0.882;0.835;0.736;2761762.5;101910.06;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 17;Ленинградская область;Кировский район;Кировск;Набережная улица;17;0;1;27.1;20;3;0.494;0.074;17;17;0;1;0;1;0;0;2013;10;0;59.880252;30.985634;1;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0.5;2.7;1;1
https://www.cian.ru/sale/flat/286446614;c_286446614;4150000;2023-04-19;3940000;2023-05-16;0.949;27;88738.74;0.98;0.964;0.949;0.835;0.792;3122115.1;70317.91;1;1;Ленинградская область, Кировский район, Кировск, Советская улица, 21;Ленинградская область;Кировский район;Кировск;Советская улица;21;2;1;44.4;27.9;5.4;0.689;0.133;1;5;1;0;0;0;1;0;1970;53;0;59.877019;30.999854;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;2.6;0;0
https://www.cian.ru/sale/flat/286266009;c_286266009;4050000;2023-04-15;4100000;2023-05-16;1.012;31;82164.33;0.978;0.964;0.964;0.835;0.805;3300254;66137.35;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 1к2;Ленинградская область;Кировский район;Кировск;Набережная улица;1к2;2;1;49.9;37;6;0.914;0.148;2;5;0;0;0;0;1;0;1971;52;0;59.888717;30.991698;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;1;2.6;0;0
