,id,latitude,longitude,unit_price,is_isolated,is_first,is_chattels,is_nice_view,is_view_to_both,rooms,walls_type,finishing_type,is_elevators,epoch,square_PC_1
60,c_282656861,59.877931,30.98284,111349.69,1,0,1,1,0,1,3.0,2.0,1,3,2.492
61,c_285406457,59.883489,30.992461,96092.54,1,0,1,0,0,1,2.0,1.0,0,2,1.797
62,c_286392760,59.884975,30.992156,100280.9,1,0,1,0,0,1,2.0,2.0,0,3,2.313
63,c_286876316,59.87355,30.983074,93103.45,0,0,0,0,1,2,3.0,1.0,0,2,-0.229
64,c_268985049,59.873004,30.989587,70445.92,1,0,0,0,0,2,3.0,1.0,0,1,-0.835
65,c_283842724,59.880252,30.985634,99215.43,1,0,0,1,0,1,3.0,2.0,2,3,0.534
66,c_278588779,59.877931,30.98284,105977.84,1,0,0,0,1,1,4.0,2.0,1,3,1.806
67,c_287016742,59.886045,30.988401,117306.12,1,0,1,1,0,0,4.0,3.0,2,3,0.338
68,c_285994311,59.880717,30.988724,80640.0,1,0,0,0,0,2,2.0,2.0,1,2,-0.179
69,c_281047457,59.887015,30.998911,83612.9,1,0,0,0,0,2,2.0,1.0,0,2,-0.624
70,c_286089886,59.8743,30.997177,89673.2,1,1,0,0,0,2,3.0,2.0,0,2,-0.518
71,c_286615937,59.874883,30.993611,86024.1,1,0,1,0,0,2,3.0,2.0,0,2,-0.251
72,c_285715688,59.873871,30.995659,97264.14,1,0,1,0,0,2,3.0,2.0,0,2,-0.489
73,c_286005331,59.886343,31.001193,72845.9,1,0,1,0,0,3,2.0,2.0,1,2,-1.964
74,c_286300698,59.886045,30.988401,98933.33,1,0,0,1,0,1,4.0,2.0,2,3,2.272
75,c_284977905,59.888717,30.991698,76107.38,1,0,0,0,1,3,3.0,1.0,0,2,-1.874
76,c_284853390,59.885954,30.996315,85103.19,1,0,0,0,1,2,2.0,2.0,0,2,0.146
77,c_285406460,59.882654,30.986146,87969.31,0,0,0,0,1,3,3.0,2.0,0,2,-0.888
78,c_285015281,59.880302,30.990108,78009.95,0,1,0,0,1,3,1.0,1.0,1,2,-2.017
79,c_282203261,59.880302,30.990108,77822.22,1,0,1,0,0,3,1.0,2.0,1,2,-1.984
80,c_286960808,59.88776,30.990512,89543.15,1,0,0,0,1,3,3.0,2.0,0,2,-1.742
81,c_285624292,59.886627,30.989946,85063.29,1,0,0,0,1,4,3.0,1.0,0,2,-2.293
82,c_284408948,59.880302,30.990108,87116.88,1,0,0,1,1,3,1.0,2.0,1,2,-2.018
83,c_286960812,59.878518,31.006223,105000.0,1,0,1,0,0,2,4.0,3.0,1,3,-0.227
84,c_286960810,59.877452,31.005101,104584.79,1,0,1,0,1,2,2.0,2.0,1,3,0.199
85,c_286539931,59.885638,30.990359,92864.32,1,0,0,0,1,2,4.0,1.0,2,3,0.009
86,c_272615616,59.886045,30.988401,146134.02,1,0,1,1,0,1,4.0,2.0,1,3,3.788
87,c_281603907,59.885598,30.993539,87779.87,1,0,0,0,1,3,1.0,2.0,2,2,-1.195
88,c_267275559,59.889327,30.992569,84484.85,1,1,1,0,0,3,3.0,4.0,0,2,0.197
89,c_286532030,59.886343,31.001193,102200.0,0,0,0,0,1,3,1.0,2.0,0,2,-1.958
90,c_282683611,59.883088,30.991033,87325.91,1,1,0,0,1,3,2.0,2.0,0,2,-1.635
