,Test,Group,Statistic,p-value
0,Shapiro-Wilk,2,_,0.37831488251686096
1,Shapiro-Wilk,0,_,0.537727415561676
2,Shapiro-Wilk,1,_,0.4493027329444885
3,Levene,All,_,0.14061380166858223
4,ANOVA,C(is_elevators),26.90464157391277,2.4375409172028166e-10
5,ANOVA,Residual,,
6,Tukey HSD,0 - 1,14788.427842364545,_
7,Tukey HSD,1 - 2,24649.06389527461,_
