,Test,Group,Statistic,p-value
0,Shapiro-Wilk,3,_,0.01717395707964897
1,Shapiro-Wilk,2,_,0.6056216359138489
2,Shapiro-Wilk,1,_,0.5333062410354614
3,Levene,All,_,0.20273555678962962
4,ANOVA,C(epoch),75.74096080509243,7.894827239418952e-22
5,ANOVA,Residual,,
6,Tukey HSD,1 - 3,6081.318666666659,NS
7,Tukey HSD,2 - 4,32650.942115384576,_
