,Test,Group,Statistic,p-value
0,Shapiro-Wilk,2.0,_,0.1928337663412094
1,Shapiro-Wilk,4.0,_,0.02908814139664173
2,Shapiro-Wilk,3.0,_,0.31973153352737427
3,Shapiro-Wilk,1.0,_,0.5535932183265686
4,Levene,All,_,0.540563023535958
5,ANOVA,C(walls_type),14.498676488534189,4.399333477939257e-08
6,ANOVA,Residual,,
7,Tukey HSD,1.0 - 3.0,4688.626444444453,NS
8,Tukey HSD,2.0 - 4.0,5503.135428571433,NS
9,Tukey HSD,3.0 - 5.0,24858.498764705873,_
