independent_var,pearson_coef,pearson_p,pearson_significant,spearman_coef,spearman_p,spearman_significant,kendall_coef,kendall_p,kendall_significant
square_PC_1,0.45225,0.00000,yes,0.45519,0.00000,yes,0.31657,0.00000,yes
square_PC_2,-0.03885,0.67356,no,-0.07130,0.43899,no,-0.05379,0.38375,no
